year,day,time,speed_ms
2006,8,748,0.00
2006,8,818,0.00
2006,8,848,0.00
2006,8,918,0.00
2006,8,948,0.00
2006,8,1018,0.00
2006,8,1048,0.00
2006,8,1118,0.00
2006,8,1148,0.00
2006,8,1218,0.00
2006,8,1248,0.00
2006,8,1318,0.00
2006,8,1348,0.00
2006,8,1418,0.00
2006,8,1448,0.00
2006,8,1518,0.00
2006,8,1548,0.00
2006,8,1618,0.00
2006,8,1648,0.00
2006,8,1718,0.00
2006,8,1748,0.00
2006,8,1818,0.00
2006,8,1848,0.00
2006,8,1918,0.00
2006,8,1948,0.00
2006,8,2018,0.00
2006,8,2048,0.00
2006,8,2118,0.00
2006,8,2148,0.00
2006,8,2218,0.00
2006,8,2248,0.00
2006,8,2318,0.00
2006,8,2348,0.00
2006,9,18,0.00
2006,9,48,0.00
2006,9,118,0.00
2006,9,148,0.00
2006,9,218,0.00
2006,9,248,0.00
2006,9,318,0.00
2006,9,348,0.00
2006,9,418,0.00
2006,9,448,0.00
2006,9,518,0.00
2006,9,548,0.00
2006,9,618,0.00
2006,9,648,0.00
2006,9,718,0.00
2006,9,748,0.00
2006,9,818,0.00
2006,9,848,0.00
2006,9,918,0.00
2006,9,948,0.00
2006,9,1018,0.00
2006,9,1048,0.00
2006,9,1118,0.00
2006,9,1148,0.00
2006,9,1218,0.00
2006,9,1248,0.00
2006,9,1318,0.00
2006,9,1348,0.00
2006,9,1418,0.00
2006,9,1448,0.00
2006,9,1518,0.00
2006,9,1548,0.00
2006,9,1618,0.00
2006,9,1648,0.00
2006,9,1718,0.00
2006,9,1748,0.00
2006,9,1818,0.00
2006,9,1848,0.00
2006,9,1918,0.00
2006,9,1948,0.00
2006,9,2018,0.00
2006,9,2048,0.00
2006,9,2118,0.00
2006,9,2148,0.00
2006,9,2218,0.00
2006,9,2248,0.00
2006,9,2318,0.00
2006,9,2348,0.00
2006,10,18,0.00
2006,10,48,0.45
2006,10,118,0.45
2006,10,148,0.00
