station,year,sun_hours,daylight_hours,fraction
Oxford,2014,1755.7,4380.0,0.4008
Oxford,2015,1581.8,4380.0,0.3611
Oxford,2016,1570.9,4380.0,0.3587
Oxford,2017,1523.4,4380.0,0.3478
Oxford,2018,1775.2,4380.0,0.4053
Oxford,2019,1649.3,4380.0,0.3766
Oxford,2020,1824.1,4380.0,0.4165
Oxford,2021,1489.2,4380.0,0.3400
Oxford,2022,1892.2,4380.0,0.4320
Oxford,2023,1633.8,4380.0,0.3730
Oxford,2024,1491.9,4380.0,0.3406
Oxford,2025,1883.6,4380.0,0.4300
