year,source,kwhdp
2018,Gas,5.40
2018,Nuclear,2.67
2018,Wind,2.34
2018,Solar,0.52
2018,Hydropower,0.22
2018,Bioenergy,1.44
2019,Coal,0.28
2019,Gas,5.43
2019,Nuclear,2.29
2019,Wind,2.61
2019,Solar,0.51
2019,Hydropower,0.24
2019,Bioenergy,1.53
2020,Coal,0.23
2020,Gas,4.55
2020,Nuclear,2.04
2020,Wind,3.08
2020,Solar,0.51
2020,Hydropower,0.28
2020,Bioenergy,1.57
2021,Coal,0.27
2021,Gas,4.97
2021,Nuclear,1.87
2021,Wind,2.63
2021,Solar,0.49
2021,Hydropower,0.22
2021,Bioenergy,1.62
2022,Coal,0.24
2022,Gas,5.03
2022,Nuclear,1.90
2022,Wind,3.22
2022,Solar,0.54
2022,Hydropower,0.23
2022,Bioenergy,1.44
2023,Coal,0.15
2023,Gas,4.06
2023,Nuclear,1.62
2023,Wind,3.28
2023,Solar,0.55
2023,Hydropower,0.22
2023,Bioenergy,1.36
2024,Coal,0.08
2024,Gas,3.44
2024,Nuclear,1.62
2024,Wind,3.32
2024,Solar,0.59
2024,Hydropower,0.23
2024,Bioenergy,1.60
2025,Coal,0.01
2025,Gas,3.63
2025,Nuclear,1.45
2025,Wind,3.42
2025,Solar,0.77
2025,Hydropower,0.22
2025,Bioenergy,1.64
