model,scenario,category,imp,ghg_2030,ghg_2050,cut_2030,cut_2040,cut_2050,netzero_co2,cumulative_co2,peak_warming,warming_2100
AIM/CGE 2.0,SSP1-26,C3,non-IMP,39.070265027255303,19.42165602357748,26.157845468421481,51.323275952786929,63.293391423075278,2090,945.61536689303887,1.702569023254108,1.6095742186638029
AIM/CGE 2.0,SSP1-34,C5,non-IMP,48.126441491471638,35.68552261621241,9.3395839119217499,20.87413591082063,32.775741807553828,,1774.3705879756501,2.0988234129391681,2.0902435119911211
AIM/CGE 2.0,SSP1-45,C6,non-IMP,55.876299043848242,53.255738124703299,-6.4792252322303314,-10.479612720101869,-1.485421041200331,,2473.615375808527,2.6669725636495638,2.664423381350534
AIM/CGE 2.0,SSP1-Baseline,C7,non-IMP,60.519311139182719,61.801085561226706,-9.0610639934208681,-12.549019105724071,-11.37093301929553,,2994.6866769761941,3.3968947955958781,3.3968947955958781
AIM/CGE 2.0,SSP4-26,C3,non-IMP,41.593743290414338,20.406272359777009,28.177419059430811,52.313577584777043,64.763182336773411,2077,982.20777901887413,1.6312558294563411,1.523933081217913
AIM/CGE 2.0,SSP4-34,C5,non-IMP,50.964345149334399,35.886014881064341,12.45964230175217,24.741690251321518,38.359365359292852,,1815.2291104003309,2.022387706090889,2.0171052498915811
AIM/CGE 2.0,SSP4-45,C6,non-IMP,59.826186057124367,53.194115907505953,-2.828703925351594,-3.2619869269751862,8.5704378681116573,,2650.4555054715652,2.5009154287328559,2.5009154287328559
AIM/CGE 2.0,SSP4-Baseline,C7,non-IMP,66.691975830882342,67.188184812698537,-13.76060234144,-17.958855094752931,-14.607016500795339,,3401.5662632954418,3.3252692512472972,3.3252692512472972
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,C5,non-IMP,52.281522439554863,24.56135006040472,8.7561478400083175,48.595133822041113,57.134526899969657,,1265.5364304165771,2.1389178909845419,2.1389178909845419
AIM/CGE 2.1,CD-LINKS_INDCi,C7,non-IMP,53.251924878365223,58.833956746599107,6.7916095605283902,0.78093293804171438,-2.9787829090083839,,3539.0983950560321,3.341541616892703,3.341541616892703
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,C4,non-IMP,53.469316729510147,14.36075916736012,6.5951505250997551,50.013905652103062,74.913377794628616,2057,806.54177791359416,1.8570658456362801,1.8199818570347559
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,C3,non-IMP,33.492364982974372,14.788429143703899,40.892824279103912,65.967091335858214,73.901446479600011,2064,679.39576587470106,1.6401316169656079,1.5977524774323471
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,C5,non-IMP,36.637344874115257,27.604042910067541,35.86075635451698,45.310792346115512,51.674925137381543,,1352.7457543594919,2.167470415289078,2.167470415289078
AIM/CGE 2.1,CD-LINKS_NPi2020_400,C1,non-IMP,31.253752624492179,0.26364574128922302,44.886814424114931,75.833293168087238,99.535084415604615,2046,508.45213502196248,1.5575222191143181,1.2362705640241149
AIM/CGE 2.1,CO_Bridge,C3,non-IMP,40.9767711189129,15.4199888360993,27.570582250186771,51.478721582414003,72.744050284825803,,938.7004641166634,1.6380935538112309,1.5381036625447531
AIM/CGE 2.1,CO_CurPol,C7,non-IMP,61.977647816355372,67.372683055076479,-9.2653981391077611,-16.1392561274454,-18.776741245901441,,3781.291962942676,3.4060478991398062,3.4060478991398062
AIM/CGE 2.2,EN_INDCi2030_1000f,C3,non-IMP,55.841250294853047,25.494174086413569,3.9374471162589502,42.982034737281353,56.142897347892387,2067,1160.1029467274541,1.8342165475063441,1.6772182104906439
AIM/CGE 2.2,EN_INDCi2030_1200,C4,non-IMP,55.854225085817347,26.379202357031581,3.9151268505667769,42.273744254824933,54.620401440280432,2070,1194.414937177437,1.8513226251410531,1.7843759893231079
AIM/CGE 2.2,EN_INDCi2030_1200f,C4,non-IMP,55.881321682878429,30.370514644861569,3.8382118558519989,37.856821169818957,47.737760898330109,2073,1317.275466830439,1.8998930279982269,1.777720090483345
AIM/CGE 2.2,EN_INDCi2030_1400,C4,non-IMP,55.860788600351292,32.165542733662093,3.875938268663957,35.476320300280648,44.650215422611893,2075,1398.9582004251879,1.937624684262317,1.891343065224081
AIM/CGE 2.2,EN_INDCi2030_1400f,C4,non-IMP,55.858121451535972,34.513168647330673,3.8766944405608692,31.655802679494911,40.608101928558582,2079,1506.1842971730821,1.986659982700596,1.897814300954306
AIM/CGE 2.2,EN_INDCi2030_1600,C5,non-IMP,55.857674708245654,35.865236489787158,3.88129658823815,28.979463998452289,38.283860777225293,2085,1579.6106108173931,2.0191011544867088,1.9887998720523561
AIM/CGE 2.2,EN_INDCi2030_1600f,C5,non-IMP,55.857674708245654,37.144408631923682,3.88129658823815,26.358578282120639,36.082688451581397,2084,1646.297927073563,2.052404599806092,2.006159618843228
AIM/CGE 2.2,EN_INDCi2030_1800,C5,non-IMP,55.857674708245654,39.180640372640077,3.88129658823815,22.49025468606137,32.578784005400728,,1782.942751285598,2.1170005111032548,2.0934738024501298
AIM/CGE 2.2,EN_INDCi2030_1800f,C5,non-IMP,55.857674708245654,39.180640372640077,3.88129658823815,22.49025468606137,32.578784005400728,,1782.942751285598,2.1170005111032548,2.0934738024501298
AIM/CGE 2.2,EN_INDCi2030_800f,C3,non-IMP,55.846539515659067,17.274217975495059,3.916486426240251,44.467792984099709,70.279849535544187,2060,1022.531659574848,1.7963407986382931,1.5853153487507901
