make,model,kind,vmax_kmh,power_kw,registrations
RENAULT,CLIO (E-TECH HYBRID),Hybrid,177,69,323
RENAULT,CLIO E-TECH HYBRID,Hybrid,178,69,8832
RENAULT,ESPACE,Hybrid,178,96,2817
RENAULT,KANGOO,Combustion,181,96,201
RENAULT,MEGANE,Combustion,195,103,2086
RENAULT,MEGANE E-TECH ELECTRIC,Electric,158,96,8081
RENAULT,MEGANE E-TECH PLUG-IN HYBRID,Hybrid,178,74,240
RENAULT,RAFALE,Hybrid,180,96,1210
RENAULT,RENAULT 4 E-TECH ELECTRIC,Electric,150,110,1995
RENAULT,RENAULT 5 E-TECH ELECTRIC,Electric,150,110,8327
RENAULT,SCENIC,Combustion,196,103,309
RENAULT,SCENIC E-TECH ELECTRIC,Electric,167,160,6628
RENAULT,SYMBIOZ,Hybrid,175,69,4877
RENAULT,TWINGO,Electric,135,60,660
RENAULT,TWINGO E-TECH ELECTRIC,Electric,130,60,675
RENAULT,ZOE,Electric,140,100,861
SEAT,ARONA,Combustion,186,70,3639
SEAT,IBIZA,Combustion,188,70,10228
SEAT,SEAT ATECA,Combustion,198,110,2052
SEAT,SEAT LEON,Hybrid,200,81,1079
SEAT,SEAT LEON E-HYBRID150,Hybrid,220,110,515
SEAT,SEAT LEON SP,Hybrid,202,110,2499
SEAT,SEAT LEON SP E-HYBRID150,Hybrid,220,110,2152
SEAT,TARRACO,Hybrid,203,110,2064
SERES,SERES 3,Electric,155,120,132
SKODA,ELROQ 50,Electric,160,125,1363
SKODA,ELROQ 60,Electric,160,150,6935
SKODA,ELROQ 85,Electric,180,210,7919
SKODA,ENYAQ 50,Electric,160,109,212
SKODA,ENYAQ 60,Electric,160,132,3806
SKODA,ENYAQ 80,Electric,160,150,2607
SKODA,ENYAQ 85,Electric,180,210,6066
SKODA,ENYAQ RS,Electric,180,80,680
SKODA,FABIA,Combustion,194,70,6566
SKODA,KAMIQ,Combustion,197,81,9393
SKODA,KAROQ,Combustion,208,110,5562
SKODA,KODIAQ,Hybrid,208,110,16421
SKODA,OCTAVIA,Hybrid,211,110,13822
SKODA,OCTAVIA RS,Hybrid,229,110,219
SKODA,SCALA,Combustion,202,81,3767
SKODA,SUPERB,Hybrid,221,110,4626
SMART,#1,Electric,180,200,1036
SMART,#3,Electric,180,200,831
SMART,#5,Electric,204,165,477
SUBARU,FORESTER,Hybrid,188,110,198
SUBARU,SOLTERRA,Electric,160,80,207
SUBARU,SUBARU UNCHARTED,Electric,159,167,106
SUZUKI,E VITARA,Electric,150,128,514
SUZUKI,IGNIS,Hybrid,160,61,5460
SUZUKI,S-CROSS,Hybrid,186,95,2468
SUZUKI,SUZUKI ACROSS,Hybrid,180,136,186
SUZUKI,SUZUKI SWACE,Hybrid,180,72,245
SUZUKI,SWIFT,Hybrid,169,61,13060
SUZUKI,SX4  SUZUKI SX4  S-C,Hybrid,187,95,2065
SUZUKI,SX4  SUZUKI SX4  S-CROSS,Hybrid,180,75,121
SUZUKI,VITARA,Hybrid,185,75,8626
TESLA,MODEL 3,Electric,207,366,24945
TESLA,MODEL S,Electric,263,504,517
TESLA,MODEL X,Electric,254,504,499
TESLA,Model Y,Electric,221,220,151
TESLA,MODEL Y,Electric,214,220,50599
TOYOTA,PROACE,Electric,134,100,146
TOYOTA,PROACE TAXI,Electric,130,100,180
TOYOTA,TOYOTA AYGO X,Combustion,159,53,29560
TOYOTA,TOYOTA BZ4X,Electric,160,150,3586
TOYOTA,TOYOTA BZ4X TOURING,Electric,172,334,373
TOYOTA,TOYOTA C-HR,Hybrid,173,112,12292
TOYOTA,TOYOTA COROLLA,Hybrid,177,72,19294
TOYOTA,TOYOTA HIGHLANDER,Hybrid,180,174,137
TOYOTA,TOYOTA PRIUS PHEV,Hybrid,177,120,326
TOYOTA,TOYOTA RAV4,Hybrid,180,131,5863
TOYOTA,TOYOTA YARIS,Hybrid,175,68,22030
TOYOTA,TOYOTA YARIS CROSS,Hybrid,170,68,30429
TOYOTA,URBAN CRUISER,Electric,150,128,1121
VINFAST,VF 8,Electric,200,300,358
VOLKSWAGEN,ARTEON,Hybrid,226,115,604
VOLKSWAGEN,CADDY,Combustion,183,84,1051
VOLKSWAGEN,CALIFORNIA,Hybrid,200,130,361
VOLKSWAGEN,GOLF,Hybrid,218,110,15152
VOLKSWAGEN,GOLF GTE,Hybrid,225,110,290
VOLKSWAGEN,ID.3 PRO 107 KW,Electric,160,107,407
VOLKSWAGEN,ID.3 PRO 150 KW,Electric,160,150,5479
VOLKSWAGEN,ID.3 PRO S 150 KW,Electric,160,150,1951
VOLKSWAGEN,ID.3 PURE 125 KW,Electric,160,125,2229
VOLKSWAGEN,ID.4 GTX 220 KW,Electric,180,220,188
VOLKSWAGEN,ID.4 PRO 128 KW,Electric,160,128,1869
VOLKSWAGEN,ID.4 PRO 150 KW,Electric,160,150,2184
VOLKSWAGEN,ID.4 PRO 210KW,Electric,180,210,6255
VOLKSWAGEN,ID.4 PRO 4MOTION 210KW,Electric,180,210,174
VOLKSWAGEN,ID.4 PURE 109 KW,Electric,160,109,337
VOLKSWAGEN,ID.4 PURE 125KW,Electric,160,125,461
VOLKSWAGEN,ID.4 PURE 140 KW,Electric,160,140,151
VOLKSWAGEN,ID.5 GTX 220 KW,Electric,180,220,225
VOLKSWAGEN,ID.5 PRO 128 KW,Electric,160,128,423
VOLKSWAGEN,ID.5 PRO 150 KW,Electric,160,150,400
VOLKSWAGEN,ID.5 PRO 210KW,Electric,180,210,262
VOLKSWAGEN,ID.7 PRO,Electric,180,210,623
VOLKSWAGEN,ID.7 PRO 210KW,Electric,180,210,502
VOLKSWAGEN,ID.7 PRO S,Electric,180,210,251
VOLKSWAGEN,ID.7 TOURER GTX,Electric,182,250,157
VOLKSWAGEN,ID.7 TOURER PRO,Electric,180,210,3467
VOLKSWAGEN,ID.7 TOURER PRO S,Electric,180,210,1582
VOLKSWAGEN,ID. BUZZ PRO 150 KW,Electric,145,150,807
VOLKSWAGEN,ID. BUZZ PRO KR 210 KW,Electric,160,210,147
VOLKSWAGEN,ID. BUZZ PRO LR 210 KW,Electric,160,210,515
VOLKSWAGEN,ID. POLO 155KW,Electric,160,155,113
VOLKSWAGEN,KOMBI,Combustion,178,110,120
VOLKSWAGEN,MULTIVAN,Hybrid,195,110,1921
VOLKSWAGEN,PASSAT,Hybrid,220,115,3637
VOLKSWAGEN,POLO,Combustion,188,70,23370
VOLKSWAGEN,TAIGO,Combustion,190,70,6985
VOLKSWAGEN,TAYRON,Hybrid,212,110,4577
VOLKSWAGEN,T-CROSS,Combustion,189,110,8208
VOLKSWAGEN,TIGUAN,Combustion,208,110,19105
VOLKSWAGEN,TOUAREG EHYBRID,Hybrid,250,250,138
VOLKSWAGEN,TOUAREG R,Hybrid,250,250,745
VOLKSWAGEN,TOURAN,Combustion,208,110,330
VOLKSWAGEN,TRANSPORTER,Electric,141,160,101
VOLKSWAGEN,T-ROC,Combustion,202,81,15975
VOLKSWAGEN,UP!,Combustion,161,48,5187
VOLVO,C40,Electric,173,185,3229
VOLVO,EC40,Electric,180,325,1561
VOLVO,ES90,Electric,180,245,253
VOLVO,EX30,Electric,180,200,18876
VOLVO,EX30 CROSS COUNTRY,Electric,180,315,218
VOLVO,EX40,Electric,180,185,9576
VOLVO,EX90,Electric,180,380,1273
VOLVO,S60,Hybrid,180,186,918
VOLVO,S90,Hybrid,180,228,274
VOLVO,V60,Hybrid,180,186,10282
VOLVO,V60 CROSS COUNTRY,Hybrid,180,184,171
VOLVO,V90,Hybrid,180,228,1145
VOLVO,XC40,Hybrid,176,120,20313
VOLVO,XC60,Hybrid,180,186,17062
VOLVO,XC90,Hybrid,180,228,6226
VW,TIGUAN,Combustion,205,110,203
XPENG,G6,Electric,201,190,2071
XPENG,G9,Electric,200,230,1686
XPENG,P7,Electric,200,203,160
ZEEKR,001,Electric,200,400,1189
ZEEKR,7GT,Electric,210,475,332
ZEEKR,7X,Electric,210,475,1516
ZEEKR,X,Electric,190,315,855
